7To: win 0.4582, lose 0.4992, tie 0.0427, total 180795
6Jo: win 0.4567, lose 0.5018, tie 0.0415, total 180698
78s: win 0.4551, lose 0.5013, tie 0.0437, total 60326
69s: win 0.4541, lose 0.4999, tie 0.0460, total 60523
2Qo: win 0.4517, lose 0.5042, tie 0.0441, total 180083
5Ts: win 0.4501, lose 0.5043, tie 0.0456, total 60662
5Jo: win 0.4493, lose 0.5052, tie 0.0455, total 180665
2Js: win 0.4478, lose 0.5095, tie 0.0428, total 60324
79o: win 0.4424, lose 0.5126, tie 0.0450, total 180901
4Ts: win 0.4398, lose 0.5133, tie 0.0470, total 60659
4Jo: win 0.4395, lose 0.5147, tie 0.0458, total 181135
68s: win 0.4374, lose 0.5143, tie 0.0483, total 60002
6To: win 0.4367, lose 0.5193, tie 0.0440, total 181220
3Ts: win 0.4362, lose 0.5182, tie 0.0457, total 60299
59s: win 0.4335, lose 0.5188, tie 0.0478, total 60706
67s: win 0.4295, lose 0.5197, tie 0.0508, total 60758
78o: win 0.4288, lose 0.5246, tie 0.0465, total 180138
3Jo: win 0.4284, lose 0.5251, tie 0.0465, total 181219
2Ts: win 0.4281, lose 0.5269, tie 0.0451, total 60497
69o: win 0.4214, lose 0.5313, tie 0.0473, total 180816
2Jo: win 0.4203, lose 0.5338, tie 0.0459, total 180793
58s: win 0.4196, lose 0.5303, tie 0.0500, total 60363
5To: win 0.4178, lose 0.5343, tie 0.0479, total 180976
49s: win 0.4135, lose 0.5371, tie 0.0494, total 60473
57s: win 0.4103, lose 0.5362, tie 0.0535, total 60136
39s: win 0.4084, lose 0.5416, tie 0.0501, total 60152
4To: win 0.4081, lose 0.5422, tie 0.0497, total 181039
68o: win 0.4071, lose 0.5420, tie 0.0509, total 181404
56s: win 0.4042, lose 0.5422, tie 0.0537, total 60140
48s: win 0.4031, lose 0.5443, tie 0.0527, total 60488
59o: win 0.4027, lose 0.5474, tie 0.0500, total 180495
29s: win 0.4009, lose 0.5520, tie 0.0470, total 60191
3To: win 0.3991, lose 0.5518, tie 0.0490, total 180729
67o: win 0.3978, lose 0.5479, tie 0.0543, total 181395
47s: win 0.3923, lose 0.5514, tie 0.0563, total 60580
2To: win 0.3907, lose 0.5601, tie 0.0492, total 180189
58o: win 0.3885, lose 0.5581, tie 0.0534, total 181550
46s: win 0.3872, lose 0.5550, tie 0.0578, total 59727
